Month,Hour,avg_GHGIntensity
08,2,14.189595649564517
08,3,14.327323153387097
08,4,15.23838217987097
08,5,17.68598080137097
08,6,21.85158842369355
08,7,26.072107400225807
08,8,30.693972357177422
08,9,36.455474175370966
08,10,41.68328133404839
08,11,45.33767701264516
08,12,47.35051897964516
08,13,49.03409665556452
08,14,50.430475979451614
08,15,50.80595362509677
08,16,51.27181764958065
08,17,52.45747595812903
08,18,52.1753794588871
08,19,50.91518331103226
08,20,47.973148476145155
08,21,44.40064890934426
08,22,35.21053360106558
08,23,23.798149664459014
09,0,8.785801688516667
09,1,7.5344066929833335
09,2,7.34301685225
09,3,7.834364610416667
09,4,9.367213621416665
09,5,11.797774812633333
09,6,14.787829439966666
09,7,17.982058226550002
09,8,20.0196105203
09,9,22.3060603521
09,10,24.5314255585
09,11,26.388330481233332
09,12,27.775976169883332
09,13,28.664016351066667
09,14,29.7915884869
09,15,29.955861533100002
09,16,30.666969788699998
09,17,32.053155861933334
09,18,31.69520540235
09,19,30.845974048183333
09,20,29.06562073903333
09,21,24.512038953300003
09,22,17.112139259066666
09,23,12.113324206849999
10,0,8.263795727016129
10,1,7.717261261032258
10,2,7.840093224580645
10,3,8.585248985903226
10,4,9.782003416
10,5,11.252065452370967
10,6,12.639940822774193
10,7,14.622421486596773
10,8,15.642425707774192
10,9,16.32680783433871
10,10,17.432779652758065
10,11,18.571133252612903
10,12,19.8331060281129
10,13,20.451809787870967
10,14,20.626018864322578
10,15,20.39151827883871
10,16,20.91219711762903
10,17,21.667891567290322
10,18,21.604012342548387
10,19,21.246127707129034
10,20,19.4842518333871
10,21,16.559590795129033
10,22,12.933784583790324
10,23,10.165175729225806
11,0,12.165359773333334
11,1,10.886012432233334
11,2,10.647279359216666
11,3,11.031485926583334
11,4,11.825321563583334
11,5,13.671733883516668
11,6,15.622277817666665
11,7,18.236640361400003
11,8,21.370433042116666
11,9,22.37188240535
11,10,23.548640182483332
11,11,24.815600341849997
11,12,25.684751592083334
11,13,26.563538505999997
11,14,28.062393069333332
11,15,29.125235608399997
11,16,29.722248108233334
11,17,30.725376310666668
11,18,32.3247698197
11,19,31.623455012066664
11,20,29.29612719875
11,21,25.1185959973
11,22,20.20697741551667
11,23,15.488801951516667
12,0,16.344514800774192
12,1,15.07631152166129
12,2,14.812290180177419
12,3,15.768641046870968
12,4,17.530618064467742
12,5,19.869345976403224
12,6,22.58483913370968
12,7,24.631974566387093
12,8,27.46407174867742
12,9,29.2731794635
12,10,30.93072102601613
12,11,32.21732222235484
12,12,32.60620794801613
12,13,32.4681241718871
12,14,32.70369110812903
12,15,34.078926434306446
12,16,34.93325915424194
12,17,36.04476732991935
12,18,39.970730987870965
12,19,37.555106289967746
12,20,33.87128989683871
12,21,30.743509175919357
12,22,26.940159282596778
12,23,21.501411376919354
