Month,Hour,avg_GHGIntensity
01,0,16.981430531515624
01,1,14.25512245140625
01,2,13.531817078390626
01,3,13.601921504546874
01,4,14.591464216234375
01,5,17.344072516359375
01,6,20.39114979178125
01,7,23.035558330734375
01,8,25.50578074528125
01,9,26.90854724065625
01,10,27.115036100281248
01,11,27.90337383978125
01,12,28.99902771575
01,13,29.073111774359376
01,14,30.534211043984374
01,15,30.839494780203125
01,16,31.5518943873125
01,17,32.8649214361875
01,18,34.80270077504687
01,19,35.2569241603125
01,20,33.58248150809375
01,21,32.366016638453125
01,22,29.22835134778125
01,23,23.69790751765625
02,0,27.488504575701754
02,1,23.430606005403508
02,2,21.429176562473685
02,3,20.92907517898246
02,4,22.64986687512281
02,5,26.485715238947368
02,6,30.97617603457895
02,7,34.51663646435088
02,8,39.17384237463158
02,9,40.264840701157894
02,10,39.97721129747368
02,11,39.820665695298246
02,12,39.296142987964906
02,13,40.353498399245616
02,14,40.83066964978947
02,15,42.86615915296491
02,16,43.52720610196491
02,17,43.83447401691228
02,18,45.62669598398245
02,19,47.25156455978947
02,20,46.25557198957895
02,21,43.06837379466666
02,22,40.70418145815789
02,23,34.3297533288421
03,0,23.441924871758065
03,1,20.49837733051613
03,2,20.207384276967744
03,3,21.846907513854838
03,4,24.640915976919356
03,5,29.149553864854838
03,6,34.00217501437097
03,7,38.24686318340323
03,8,39.526239798967744
03,9,38.984283885064514
03,10,37.661493419774196
03,11,37.26659245724194
03,12,37.02364418412903
03,13,35.8180269423871
03,14,35.075514976
03,15,34.85557822845161
03,16,34.83546039987097
03,17,35.5695948878871
03,18,36.126873710612905
03,19,38.12855287451613
03,20,38.73963701675807
03,21,36.13772407053226
03,22,31.354895936596776
03,23,26.220148206725806
04,0,10.20699505561017
04,1,9.078521780166666
04,2,9.073230623299999
04,3,9.269575399916667
04,4,10.05531494105
04,5,10.749660858350001
04,6,11.791520633066666
04,7,13.113924249666667
04,8,13.144042270016666
04,9,13.042239482666666
04,10,13.351562940683332
04,11,13.229461745466667
04,12,13.743267128566666
04,13,14.195727433266665
04,14,14.317670381516667
04,15,14.987763292316666
04,16,15.784717252966102
04,17,16.674544013254238
04,18,17.18484018038983
04,19,17.552331592355934
04,20,17.929338679271186
04,21,17.587274639067797
04,22,15.108111475084746
04,23,12.316813061542373
05,0,9.115278509790322
05,1,7.51209103166129
05,2,7.0749997623387095
05,3,7.3948576267741934
05,4,8.400226127903226
05,5,9.910034971193548
05,6,11.40292693083871
05,7,12.456920782145161
05,8,13.682823332451614
05,9,14.315244142806453
05,10,14.811995540403226
05,11,14.954132292258064
05,12,14.3998614395
05,13,14.58664142435484
05,14,15.385511875241935
05,15,16.130835076854837
05,16,16.242151200306452
05,17,17.43303689914516
05,18,18.188589024887094
05,19,18.25153648770968
05,20,17.54492672283871
05,21,16.747797202080644
05,22,15.071611235709677
05,23,11.624912126677419
06,0,9.939947056745764
06,1,7.450097045016666
06,2,6.588052860683334
06,3,6.8704195916833335
06,4,7.647993304983333
06,5,8.849516496033335
06,6,10.769808332433334
06,7,12.872685132833334
06,8,14.70183110265
06,9,17.194741758366668
06,10,19.857191287033334
06,11,22.517778674216668
06,12,24.61821452525
06,13,26.283416434449997
06,14,27.15447661395
06,15,27.364788378083336
06,16,28.39033475048333
06,17,28.394972530049998
06,18,28.361036121166666
06,19,28.282869690466665
06,20,27.223371707483334
06,21,24.521810409049998
06,22,20.288777004700002
06,23,13.794937914683334
07,0,23.990808618311476
07,1,19.24253993354839
07,2,17.859028666096773
07,3,17.537027630693547
07,4,19.09325985898387
07,5,23.01922879566129
07,6,28.634825056967742
07,7,34.42335764575806
07,8,40.06956888129032
07,9,45.272628719322576
07,10,51.65597946016129
07,11,55.48391018112903
07,12,58.3900210966129
07,13,59.77037458983871
07,14,59.99201499983871
07,15,59.82280595483871
07,16,60.66233809677419
07,17,64.01343113499999
07,18,64.4081245733871
07,19,63.0962879
07,20,59.587164100483875
07,21,57.24231305080645
07,22,50.56592627951613
07,23,36.673988910935485
08,0,16.94247702790164
08,1,14.755468944919356
